payer_id,vyne_payer_id,insurance_name,features,alt_ids
0000D,UNITED_CONCORDIA,United Concordia,"ELIGIBILITY
CLEARCOVERAGE","UNITED_CONCORDIA_FEDERAL_EMPLOYEES_PROGRAM
PERSONAL_CHOICE
HERSHEY_HEALTHSMILE
BLUE_SHIELD_PENNSYLVANNIA
UCCDP
54771
CX013
89070
CX007
CBPA2
CB865
CX002
DXTAS
18004
UCCTR
UCCMB
UCCEN
UCCDE
UCCAP
00864
TLW33
CXOO7
TLX74
CX008
TFQ25
CBMNU
CBAR2
TEMU1
99998
99994
TES03
99997
Z9901
99995
BCBS_LOUISIANA
MINNESOTA_BLUE_CROSS_DENTAL_(UCCI)
53287
BXMN1
TLU22
00720
CX004
00301
00800
TLX78
TLX12
CBNYW
CBNYE
55204
0000D"
0000E,METLIFE,Metropolitan Life Insurance Company,"ELIGIBILITY
CLEARCOVERAGE","65978
TLZ16
TES01
0000E"
00580,BCBS_MARYLAND,Blue Cross Blue Shield of Maryland / CAREFIRST,ELIGIBILITY,"CX034
TDN02
TLY47
FX136
TLX87
TLZ09
TLX86
TLX85
TLU18
TLX88
TDN01"
00611,BLUE_SHIELD_IDAHO,Regence Blue Shield of Idaho,"ELIGIBILITY
CLEARCOVERAGE",CBID2
00700,ANTHEM_BCBS_CONNECTICUT,Blue Cross Blue Shield of Connecticut- Family Plan,ELIGIBILITY,"AD060
700"
00851,BCBS_OREGON,Blue Cross Blue Shield of Oregon (Regence),"ELIGIBILITY
CLEARCOVERAGE","00850
85100
TLW13
CB850
REGENCE_BCBS_OREGON_OUT"
00932,BLUE_SHIELD_WASHINGTON,Blue Cross Blue Shield of Washington (Regence),"ELIGIBILITY
CLEARCOVERAGE",93200
02027,DD_NORTHEAST,Delta Dental of Northeast (ME NH VT),ELIGIBILITY,"2027
02027T3
02027T2
02027T1"
04356,04356,Dentaquest - Commercial,ELIGIBILITY,
04614,DD_MA,Delta Dental of Massachusetts,"ELIGIBILITY
CLEARCOVERAGE",4614
05029,DD_RHODE_ISLAND,Delta Dental of Rhode Island,"ELIGIBILITY
CLEARCOVERAGE",5029
07025,07025,Delta Dental of Wyoming,ELIGIBILITY,"CDWY1
DDWY1"
07027,DD_NEBRASKA,Delta Dental of Nebraska,"ELIGIBILITY
CLEARCOVERAGE",
11198,DD_NEW_YORK,Delta Dental of New York,"ELIGIBILITY
CLEARCOVERAGE",32_BJ
22099,HORIZON,Blue Cross Blue Shield of NJ (Horizon),ELIGIBILITY,22099T1
22189,DD_NEW_JERSEY,Delta Dental of New Jersey,"ELIGIBILITY
CLEARCOVERAGE","DD_CONNECTICUT
37307
DDNJ1
22189T1
TLU56"
